Algorithm,Number of CPUs,Number of IO Devices,Time Quantum,CPU Utilization (%),Average Turnaround Time,Average Ready Wait Time,Average IO Wait Time
MLFQ,4,7,5,0.5326158576762574,30.0,2.0,0.0
MLFQ,4,7,5,0.661402789171452,29.333333333333332,2.3333333333333335,0.0
MLFQ,4,7,5,0.6456456456456456,31.0,4.0,0.0
MLFQ,4,7,5,0.5604046816107915,31.0,3.5,0.0
MLFQ,4,4,5,2.4315259921743992,53.0,6.0,6.0
FCFS,4,4,5,3.3880903490759757,57.0,8.75,4.5
FCFS,4,2,5,0.402975821450713,66.33333333333333,5.0,19.0
MLFQ,4,5,5,1.976047904191617,14.333333333333334,2.6666666666666665,0.3333333333333333
MLFQ,4,5,5,1.3318534961154271,14.0,2.0,1.0
FCFS,1,2,5,5.090137857900318,30.5,18.0,1.5
MLFQ,4,5,5,1.7277486910994764,14.666666666666666,2.6666666666666665,0.6666666666666666
FCFS,1,2,5,5.2264808362369335,36.0,24.5,0.5
MLFQ,4,5,5,1.4261019878997407,14.666666666666666,3.0,0.6666666666666666
MLFQ,4,5,5,1.0195412064570943,14.0,2.0,1.0
MLFQ,4,5,5,0.8742714404662781,14.0,2.0,1.0
